ticker,exists,rows,elapsed_s,note
1463.T,no,0,1.23,empty-history
1464.T,no,0,0.11,empty-history
1465.T,no,0,0.11,empty-history
1467.T,no,0,0.11,empty-history
1468.T,no,0,0.12,empty-history
1470.T,no,0,0.11,empty-history
1471.T,no,0,0.11,empty-history
1492.T,no,0,0.12,empty-history
1500.T,no,0,0.99,empty-history
1501.T,no,0,0.11,empty-history
1502.T,no,0,1.44,empty-history
1503.T,no,0,0.11,empty-history
1504.T,no,0,1.13,empty-history
1505.T,no,0,1.13,empty-history
1506.T,no,0,0.98,empty-history
1507.T,no,0,1.20,empty-history
1508.T,no,0,1.13,empty-history
1509.T,no,0,0.98,empty-history
1510.T,no,0,1.31,empty-history
1511.T,no,0,0.99,empty-history
1512.T,no,0,1.48,empty-history
1513.T,no,0,1.00,empty-history
1516.T,no,0,0.98,empty-history
1517.T,no,0,1.12,empty-history
1519.T,no,0,0.99,empty-history
1520.T,no,0,1.00,empty-history
1521.T,no,0,0.99,empty-history
1522.T,no,0,0.98,empty-history
1523.T,no,0,0.99,empty-history
1524.T,no,0,1.01,empty-history
1525.T,no,0,1.00,empty-history
1526.T,no,0,1.01,empty-history
1527.T,no,0,1.12,empty-history
1528.T,no,0,1.04,empty-history
1529.T,no,0,1.00,empty-history
1530.T,no,0,0.99,empty-history
1531.T,no,0,0.98,empty-history
1532.T,no,0,1.00,empty-history
1533.T,no,0,0.99,empty-history
1534.T,no,0,1.00,empty-history
1535.T,no,0,1.03,empty-history
1536.T,no,0,1.11,empty-history
1537.T,no,0,1.10,empty-history
1538.T,no,0,1.31,empty-history
1539.T,no,0,1.10,empty-history
1544.T,no,0,1.17,empty-history
1548.T,no,0,0.98,empty-history
1549.T,no,0,0.10,empty-history
1552.T,no,0,0.11,empty-history
1553.T,no,0,0.98,empty-history
1556.T,no,0,1.04,empty-history
1558.T,no,0,1.00,empty-history
1561.T,no,0,0.11,empty-history
1562.T,no,0,0.99,empty-history
1564.T,no,0,1.14,empty-history
