ticker,cross_month,ma9,ma24,latest_close
5471.T,2026-01,1338.7,1326.42,2623.5
3193.T,2026-03,3234.19,3230.42,2631.0
2292.T,2026-02,2696.07,2641.31,2636.0
4367.T,2026-05,2244.76,2205.27,2666.0
6342.T,2026-02,2828.63,2784.69,2676.0
6150.T,2026-03,3046.62,3003.68,2680.0
9044.T,2025-12,2542.17,2535.2,2694.5
3993.T,2026-03,3521.33,3512.21,2744.0
5726.T,2026-02,2266.06,2195.18,2774.0
7203.T,2026-01,2912.71,2878.39,2776.5
3652.T,2026-01,2238.78,2229.62,2780.0
1419.T,2026-03,3583.48,3530.27,2791.0
8304.T,2026-02,2332.77,2292.8,2791.0
9031.T,2025-12,2273.38,2267.54,2794.0
7749.T,2026-01,2651.47,2640.4,2796.0
2229.T,2026-06,2921.96,2918.75,2797.5
6965.T,2026-05,1870.59,1777.68,2797.5
5727.T,2025-11,1364.78,1324.0,2811.0
7745.T,2026-04,2234.75,2167.96,2829.0
7276.T,2025-12,2012.61,1978.98,2839.5
1444.T,2025-12,2726.33,2725.25,2843.0
6326.T,2026-02,2082.33,1992.87,2846.5
1383.T,2026-03,3093.31,3068.04,2860.0
9001.T,2026-02,2619.45,2606.98,2862.0
6264.T,2025-12,845.23,838.85,2917.0
2469.T,2026-01,2611.07,2573.08,2925.0
6999.T,2026-01,1169.21,1151.72,2930.0
6820.T,2025-12,2861.53,2853.05,2945.0
9202.T,2026-01,2840.99,2833.43,2961.0
7716.T,2026-04,2267.06,2236.49,2967.0
6419.T,2026-03,3019.99,3016.3,2972.0
7943.T,2026-03,3064.91,3050.44,2977.0
6832.T,2026-02,2311.64,2229.86,2987.0
4125.T,2026-03,2144.79,1988.43,2996.0
1878.T,2026-04,3162.65,3120.86,3017.0
2747.T,2026-01,3107.95,3083.58,3025.0
8159.T,2025-12,2714.91,2658.75,3095.0
2204.T,2026-05,3081.15,3078.2,3115.0
6258.T,2025-12,1940.34,1912.38,3120.0
